comp  name  center_x  center_y  center_z  rin(z-in)  rin(z-out)  dout  length  angle  B  gradient
QF  QC1LPE875  -452.809614985268  0.000305  1.34390889464468  0.1  0.1  0.6  0.01  -0.0494230643873766  0  12
QF  QC1LPE885  -452.809121213279  0.000291  1.35389690591763  0.1  0.1  0.6  0.01  -0.0493774065741444  0  12
QF  QC1LPE891  -452.808874  0.000277  1.35889  0.1  0.1  0.6  0.01  -0.0493330053979737  0  12
QF  QC1LE895  -452.808627435188  0.000277  1.36388391687894  0.1  0.1  0.6  0.01  -0.0493329704913886  0  12
QF  QC1LPE899  -452.808381  0.000262  1.368878  0.1  0.1  0.6  0.01  -0.0492901924714223  0  12
QF  QC1LPE901  -452.808381  0.000262  1.368878  0.1  0.1  0.6  0.01  -0.0492898957654494  0  12
QF  QC1LE905  -452.808134650475  0.000262  1.37387192750361  0.1  0.1  0.6  0.01  -0.0492898608588644  0  12
QF  QC1LPE909  -452.807889  0.000248  1.378866  0.1  0.1  0.6  0.01  -0.0492482522094968  0  12
QF  QC1LPE911  -452.807889  0.000248  1.378866  0.1  0.1  0.6  0.01  -0.0492479380502315  0  12
QF  QC1LE915  -452.807642860009  0.000248  1.38385993783548  0.1  0.1  0.6  0.01  -0.0492479031436464  0  12
QF  QC1LPE919  -452.807397  0.000234  1.388854  0.1  0.1  0.6  0.01  -0.0492075336780478  0  12
QF  QC1LPE921  -452.807397  0.000234  1.388854  0.1  0.1  0.6  0.01  -0.049207236972075  0  12
QF  QC1LE925  -452.807151063355  0.000234  1.3938479478538  0.1  0.1  0.6  0.01  -0.0492071846121974  0  12
QF  QC1LPE929  -452.806905  0.00022  1.398842  0.1  0.1  0.6  0.01  -0.0491680717836602  0  12
QF  QC1LPE931  -452.806905  0.00022  1.398842  0.1  0.1  0.6  0.01  -0.0491677925309799  0  12
QF  QC1LE935  -452.806659260338  0.00022  1.40383595755075  0.1  0.1  0.6  0.01  -0.0491677401711023  0  12
QF  QC1LPE939  -452.806414  0.000206  1.40883  0.1  0.1  0.6  0.01  -0.049129831619749  0  12
QF  QC1LPE941  -452.806414  0.000206  1.40883  0.1  0.1  0.6  0.01  -0.0491295523670687  0  12
QF  QC1LE945  -452.806168451308  0.000206  1.41382396694422  0.1  0.1  0.6  0.01  -0.0491295000071911  0  12
QF  QC1LPE949  -452.805923  0.000192  1.418818  0.1  0.1  0.6  0.01  -0.0490927782797292  0  12
QF  QC1LPE951  -452.805923  0.000192  1.418818  0.1  0.1  0.6  0.01  -0.0490925164803414  0  12
QF  QC1LE955  -452.805677636352  0.000192  1.42381197603919  0.1  0.1  0.6  0.01  -0.0490924466671713  0  12
QF  QC1LPE959  -452.805432  0.000178  1.428806  0.1  0.1  0.6  0.01  -0.0490568943103082  0  12
QF  QC1LPE961  -452.805432  0.000178  1.428806  0.1  0.1  0.6  0.01  -0.0490566150576279  0  12
QF  QC1LE965  -452.805186815643  0.000178  1.43379998484488  0.1  0.1  0.6  0.01  -0.0490565452444578  0  12
QF  QC1LPE969  -452.804942  0.000164  1.438794  0.1  0.1  0.6  0.01  -0.0490221273516084  0  12
QF  QC1LPE971  -452.804942  0.000164  1.438794  0.1  0.1  0.6  0.01  -0.0490218480989281  0  12
QF  QC1LE975  -452.804696989268  0.000164  1.44378799336617  0.1  0.1  0.6  0.01  -0.0490217782857581  0  12
QF  QC1LPE979  -452.804452  0.00015  1.448782  0.1  0.1  0.6  0.01  -0.0489884948569225  0  12
QF  QC1LPE981  -452.804452  0.00015  1.448782  0.1  0.1  0.6  0.01  -0.0489881981509497  0  12
QF  QC1LE985  -452.804207157316  0.00015  1.45377600160795  0.1  0.1  0.6  0.01  -0.0489881283377796  0  12
QF  QC1LPE989  -452.803963  0.000137  1.45877  0.1  0.1  0.6  0.01  -0.0489559793729579  0  12
QF  QC1LPE991  -452.803963  0.000137  1.45877  0.1  0.1  0.6  0.01  -0.0489556652136925  0  12
QF  QC1LE995  -452.803718319786  0.000137  1.46376400957075  0.1  0.1  0.6  0.01  -0.0489555954005224  0  12
QF  QC1LPE999  -452.803474  0.000124  1.468758  0.1  0.1  0.6  0.01  -0.0489245808997145  0  12
QF  QC1LPE1001  -452.803474  0.000124  1.468758  0.1  0.1  0.6  0.01  -0.0489242841937416  0  12
QF  QC1LE1005  -452.80322947659  0.000124  1.47375201725088  0.1  0.1  0.6  0.01  -0.048924196927279  0  12
QF  QC1LPE1009  -452.802985  0.000112  1.478746  0.1  0.1  0.6  0.01  -0.0488943517970699  0  12
QF  QC1LPE1011  -452.802985  0.000112  1.478746  0.1  0.1  0.6  0.01  -0.0488940550910971  0  12
QF  QC1LE1015  -452.802740627555  0.000112  1.48374002464032  0.1  0.1  0.6  0.01  -0.0488939678246345  0  12
QF  QC1LPE1019  -452.802496  1e-04  1.488734  0.1  0.1  0.6  0.01  -0.0488653095183168  0  12
QF  QC1LPE1021  -452.802496  1e-04  1.488734  0.1  0.1  0.6  0.01  -0.0488650302656364  0  12
QF  QC1LE1025  -452.802251772506  1e-04  1.49372803173108  0.1  0.1  0.6  0.01  -0.0488649429991738  0  12
QF  QC1LPE1029  -452.802008  8.87e-05  1.498722  0.1  0.1  0.6  0.01  -0.048837523876625  0  12
QF  QC1LPE1031  -452.802008  8.87e-05  1.498722  0.1  0.1  0.6  0.01  -0.0488372620772372  0  12
QF  QC1LE1035  -452.801763911181  8.87e-05  1.50371603851091  0.1  0.1  0.6  0.01  -0.0488371748107746  0  12
QF  QC1LPE1039  -452.80152  7.8e-05  1.50871  0.1  0.1  0.6  0.01  -0.0488110646851648  0  12
QF  QC1LPE1041  -452.80152  7.8e-05  1.50871  0.1  0.1  0.6  0.01  -0.0488108203390695  0  12
QF  QC1LE1045  -452.801276043232  7.8e-05  1.5137040449633  0.1  0.1  0.6  0.01  -0.0488107330726069  0  12
QF  QC1LPE1049  -452.801032  6.79e-05  1.518698  0.1  0.1  0.6  0.01  -0.0487860541169837  0  12
QF  QC1LPE1051  -452.801032  6.79e-05  1.518698  0.1  0.1  0.6  0.01  -0.0487858446774735  0  12
QF  QC1LE1055  -452.800788167962  6.79e-05  1.52369205105472  0.1  0.1  0.6  0.01  -0.0487857574110109  0  12
QF  QC1LPE1059  -452.800544  5.85e-05  1.528686  0.1  0.1  0.6  0.01  -0.0487626492517144  0  12
QF  QC1LPE1061  -452.800544  5.85e-05  1.528686  0.1  0.1  0.6  0.01  -0.0487624572654967  0  12
QF  QC1LE1065  -452.80030028476  5.85e-05  1.53368005675596  0.1  0.1  0.6  0.01  -0.0487623699990341  0  12
QF  QC1LPE1069  -452.800057  4.96e-05  1.538674  0.1  0.1  0.6  0.01  -0.0487410071689897  0  12
QF  QC1LPE1071  -452.800057  4.96e-05  1.538674  0.1  0.1  0.6  0.01  -0.0487408326360645  0  12
QF  QC1LE1075  -452.799813392755  4.96e-05  1.54366806202504  0.1  0.1  0.6  0.01  -0.0487407453696019  0  12
QF  QC1LPE1079  -452.79957  4.14e-05  1.548663  0.1  0.1  0.6  0.01  -0.0487213373083197  0  12
QF  QC1LPE1081  -452.79957  4.14e-05  1.548663  0.1  0.1  0.6  0.01  -0.0487211802286871  0  12
QF  QC1LE1085  -452.799326490813  4.14e-05  1.5536570668073  0.1  0.1  0.6  0.01  -0.048721110415517  0  12
QF  QC1LPE1089  -452.799083  3.39e-05  1.558651  0.1  0.1  0.6  0.01  -0.0487038142026297  0  12
QF  QC1LPE1091  -452.799083  3.39e-05  1.558651  0.1  0.1  0.6  0.01  -0.0487036745762896  0  12
QF  QC1LE1095  -452.798839578237  3.39e-05  1.56364507106932  0.1  0.1  0.6  0.01  -0.0487036047631195  0  12
QF  QC1LPE1099  -452.798596  2.7e-05  1.568639  0.1  0.1  0.6  0.01  -0.0486885600249673  0  12
QF  QC1LPE1101  -452.798596  2.7e-05  1.568639  0.1  0.1  0.6  0.01  -0.0486884553052122  0  12
QF  QC1LE1105  -452.798352654156  2.7e-05  1.5736330747692  0.1  0.1  0.6  0.01  -0.0486884029453346  0  12
QF  QC1LPE1109  -452.79811  2.07e-05  1.578627  0.1  0.1  0.6  0.01  -0.0486756096819175  0  12
QF  QC1LPE1111  -452.79811  2.07e-05  1.578627  0.1  0.1  0.6  0.01  -0.0486755224154549  0  12
QF  QC1LE1115  -452.797866718744  2.07e-05  1.58362107791594  0.1  0.1  0.6  0.01  -0.0486754700555773  0  12
QF  QC1LPE1119  -452.797623  1.5e-05  1.588615  0.1  0.1  0.6  0.01  -0.0486648060938476  0  12
